#,question,answer,sources,confidence,from_cache,language,elapsed_seconds,status
1,climate change monetary policy,"Climate change affects monetary policy through the transmission mechanism, the appropriate policy stance, and the design of monetary-policy instruments. Climate-related developments can independently alter financial conditions—reinforcing or offsetting the monetary-policy stance—and can change how firms, households and financial intermediaries respond to that stance. These effects may become stronger as climate deterioration and the green transition advance, so they should be incorporated into the information used to assess monetary transmission. Asset prices are identified as one important channel. (Climate change and monetary policy.pdf, pp. 19–20)

Climate change also reduces trend output and increases the volatility of output and inflation, while physical climate events and transition measures can create cyclical shocks requiring a monetary-policy response. However, there is no “one size fits all” approach to determining the net effect on the policy stance. Climate risks and transition policies may also affect the neutral rate, but their overall impact remains unclear. The investment needs of the green transition materially affect investment dynamics; carbon-related taxes may create short-term costs, while the shift to renewables should ultimately reduce dependence on fossil-fuel imports and inflation volatility. The operational framework is also intended to incorporate climate considerations into structural monetary-policy operations. (Climate change and monetary policy.pdf, p. 29)",Climate change and monetary policy.pdf; Climate change and monetary policy.pdf; Climate change and monetary policy.pdf,5.481784343719482,False,en,10.0,ok
2,climate change monetary policy,"Climate change affects monetary policy through three main channels. First, it can weaken or otherwise alter monetary-policy transmission by independently changing financial conditions and by changing how firms, households and financial intermediaries respond to the policy stance. Asset prices are one important transmission channel. These effects may become more significant as climate deterioration and the green transition progress, so climate factors should be incorporated into the information used to assess transmission. (Climate change and monetary policy.pdf, pp.19–20)

Second, physical climate events and transition measures can create macroeconomic shocks, increasing output and inflation volatility, while climate risks and transition policies may also affect the neutral interest rate. Their combined effect on the appropriate monetary-policy stance is uncertain, meaning there is no single response applicable to every climate-related shock. The green transition also materially affects investment dynamics; although carbon-related taxes may impose short-term costs, greater use of renewables should ultimately reduce dependence on fossil-fuel imports and inflation volatility. (Climate change and monetary policy.pdf, p.29) Finally, climate-related considerations are intended to be incorporated into the design of structural monetary-policy operations. (Climate change and monetary policy.pdf, p.29)",Climate change and monetary policy.pdf; Climate change and monetary policy.pdf; Climate change and monetary policy.pdf,5.481784343719482,False,en,7.2,ok
3,ECB climate,"The ECB expects banks to prudently manage and transparently disclose climate-related and environmental risks under current prudential rules. Its final guide applied immediately from 27 November 2020. The ECB planned self-assessments and action plans in early 2021, followed by supervisory benchmarking and dialogue; a full supervisory review and follow-up measures were planned for 2022. It also announced a 2022 supervisory stress test focused on climate-related risks and identified weaknesses in banks’ climate-risk disclosures, particularly the lack of relevant quantitative and qualitative information. (ECB publishes final guide on climate-related and environmental risks for banks.pdf, p.1)

ECB-related climate-risk analytical tools include climate beta, CRISK, Carbon Value at Risk, climate spreads, and normalised or collateral-adjusted exposure-at-risk. These measures address, respectively, sensitivity of asset prices, climate-conditional capital shortfalls, securities’ exposure to future carbon-price changes, climate-related financing-cost differences, and expected losses from physical risks. (Assessment of Climate-related Vulnerabilities_ Analytical framework and toolkit.pdf, p.28) More recently, the ECB decided in July 2025 to introduce a climate factor to protect Eurosystem collateral against climate-related transition shocks, applicable from 15 June 2026 to marketable assets issued by non-financial corporations. It also postponed making compliance with the Corporate Sustainability Reporting Directive a collateral-eligibility criterion, citing incomplete national transposition and the Directive’s review. (Annual Report 2025.pdf, pp.108–109)",ECB publishes final guide on climate-related and environmental risks for banks.pdf; Assessment of Climate-related Vulnerabilities_ Analytical framework and toolkit.pdf; Annual Report 2025.pdf,4.667149543762207,False,en,9.3,ok
4,What are the ECB's supervisory priorities?,"For 2026–2028, the ECB’s supervisory priorities are to:

- **Strengthen banks’ resilience to geopolitical risks and macro-financial uncertainties**, including rising geopolitical tensions, trade fragmentation, climate- and nature-related risks, demographic change and rapid technological transformation. (Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf, p.1)
- **Strengthen operational resilience and ICT capabilities**, notably by addressing weaknesses in operational-resilience frameworks, IT outsourcing and IT-security/cyber risks. (Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf, p.1; ECB Banking Supervision_ SSM supervisory priorities for 2024-2026.pdf, p.3)
- **Advance digital transformation**, including the development of robust digital—and particularly AI-related—strategies supported by appropriate governance and risk-management frameworks. (Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf, p.1; Supervisory priorities 2026-28.pdf, pp.2–3)

These priorities are based on the latest SREP findings and are implemented through supervisory work programmes addressing the vulnerabilities identified. The ECB will also continue regular supervision, follow-up on past priorities and institution-specific risk work. (Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf, p.1; Supervisory priorities 2026-28.pdf, pp.2–3)",Supervisory Priorities for 2026 - 2028 _ Management Solutions.pdf; Supervisory priorities 2026-28.pdf; ECB Banking Supervision_ SSM supervisory priorities for 2024-2026.pdf,10.686593055725098,False,en,10.8,ok
5,ECB banking supervision,"ECB Banking Supervision’s 2024–2026 priorities include assessing outsourcing arrangements and concentration risks through data collection and horizontal analysis of banks’ outsourcing registers. It will also conduct targeted reviews of outsourcing and cyber-resilience arrangements, complemented by targeted on-site inspections (OSIs) to identify institution-specific deficiencies. In addition, a thematic cyber-resilience stress test was planned to assess banks’ ability to respond to and recover from a successful cyberattack. (ECB Banking Supervision_ SSM supervisory priorities for 2024-2026.pdf, pp. 16–17)

The ECB is also increasing its focus on boards’ collective IT expertise, institutions relying on end-of-life systems supporting critical banking activities, outsourcing—including cloud outsourcing—and the monitoring of those arrangements. It expects full compliance with the applicable outsourcing requirements within the relevant timelines and is placing greater emphasis on ensuring that critical IT functions are assessed by internal IT audit. (Annual report on the outcome of the SREP IT Risk Questionnaire – Feedback to the industry.pdf, p. 4) In 2025, the ECB further pursued digitalisation of supervisory processes and completed implementation of the updated EBA reporting framework reflecting requirements from CRR III and CRD VI. (ECB Annual Report on supervisory activities 2025.pdf, pp. 63–64)",ECB Banking Supervision_ SSM supervisory priorities for 2024-2026.pdf; Annual report on the outcome of the SREP IT Risk Questionnaire – Feedback to the industry.pdf; ECB Annual Report on supervisory activities 2025.pdf,10.686566352844238,False,en,7.9,ok
6,ECB guide to internal models,"The ECB Guide to Internal Models explains how the ECB understands and intends to apply the applicable EU and national rules when assessing whether institutions meet requirements for internal models. It is also intended for internal use by supervisory teams to promote a common and consistent supervisory approach, while allowing the ECB to consider each institution’s specific circumstances. (ECB guide to internal models.pdf, p.6)

The Guide is not intended to replace, override or extend applicable EU or national law, including adopted regulatory and implementing technical standards. It is also without prejudice to policy positions that the European Banking Authority may adopt under the CRR3. Some sections may require revision when further standards are finalised or adopted. (ECB guide to internal models.pdf, p.6) Its contents cover overarching principles, governance, documentation, data governance, validation, audit, climate-related and environmental risks, machine-learning techniques, model changes, third-party involvement and consolidations, as well as credit-risk topics such as the IRB approach and the definition of default. (ECB guide to internal models.pdf, p.3)

The excerpted publication is dated July 2025 and states that it has become outdated; it directs readers to the latest version on the ECB’s banking supervision website. (ECB guide to internal models.pdf, p.1)",ECB guide to internal models.pdf; ECB guide to internal models.pdf; ECB guide to internal models.pdf,10.907856941223145,False,en,7.8,ok
7,What are the FATF Recommendations?,"The FATF Recommendations are an international standard for combating money laundering, terrorist financing, and the financing of proliferation. They are designed to be implemented by countries through measures adapted to their own legal, administrative, operational, and financial circumstances, rather than through identical measures in every country. (FATF Recommendations 2012 (updated 2023.11).pdf, p.8)

They set out essential measures to: identify risks and develop policies and domestic coordination; pursue money laundering, terrorist financing, and proliferation financing; apply preventive measures to the financial sector and other designated sectors; establish powers and responsibilities for competent authorities; improve the transparency and availability of beneficial-ownership information concerning legal persons and arrangements; and facilitate international cooperation. (FATF Recommendations 2012 (updated 2023.11).pdf, p.8) The original FATF Forty Recommendations were issued in 1990, revised in 1996, and expanded in 2001 to address terrorist financing through the creation of Eight, later Nine, Special Recommendations. (FATF Recommendations 2012 (updated 2023.11).pdf, p.8)",fatf-recommendations-2012.pdf; FATF Recommendations 2012 (updated 2023.11).pdf; faft.pdf,8.995955467224121,False,en,5.5,ok
8,FATF Recommendations,"Les Recommandations du GAFI (FATF) constituent une norme internationale de lutte contre le blanchiment de capitaux, le financement du terrorisme et le financement de la prolifération des armes de destruction massive. Elles sont élaborées et promues par le Groupe d’action financière, organisme intergouvernemental indépendant chargé de protéger le système financier mondial contre ces menaces. (fatf-recommendations-2012.pdf, p.1-2)

Elles ne prescrivent pas des mesures identiques pour tous les pays : ceux-ci doivent les mettre en œuvre au moyen de mesures adaptées à leurs cadres juridiques, administratifs et opérationnels ainsi qu’à leurs systèmes financiers respectifs. Elles définissent notamment les mesures essentielles visant à identifier les risques et à développer des politiques ainsi qu’une coordination nationale, poursuivre le blanchiment de capitaux, le financement du terrorisme et le financement de la prolifération, appliquer des mesures préventives au secteur financier et aux autres secteurs désignés, établir les pouvoirs et responsabilités des autorités compétentes, améliorer la transparence et la disponibilité des informations sur les bénéficiaires effectifs des personnes morales et constructions juridiques, et faciliter la coopération internationale. (fatf-recommendations-2012.pdf, p.8)

Les quarante premières Recommandations ont été élaborées en 1990 pour lutter contre l’utilisation abusive des systèmes financiers à des fins de blanchiment de capitaux issus de la drogue. Elles ont été révisées en 1996, puis le mandat du GAFI a été étendu en octobre 2001 au financement des actes et organisations terroristes, avec l’adoption de huit, puis neuf, Recommandations spéciales sur le financement du terrorisme. (fatf-recommendations-2012.pdf, p.8)",fatf-recommendations-2012.pdf; fatf-recommendations-2012.pdf; FATF Recommendations 2012 (updated 2023.11).pdf,10.003844261169434,False,fr,7.3,ok
9,FATF AML/CFT,"The **Financial Action Task Force (FATF)** is an independent intergovernmental body that develops and promotes policies to protect the global financial system against **money laundering (ML), terrorist financing (TF), and the financing of proliferation of weapons of mass destruction (PF)**. Its Recommendations are recognised as the global **anti-money-laundering (AML) and counter-terrorist-financing (CFT) standard**. (FATF-4th-Round-Procedures.pdf.coredownload.pdf, pp. 1–2)

The FATF’s fourth-round procedures establish the framework for **AML/CFT mutual evaluations**. The associated methodology assesses both **technical compliance with the FATF Recommendations** and the **effectiveness of AML/CFT/CPF systems**—where CPF means counter-proliferation financing. (FATF-4th-Round-Procedures.pdf.coredownload.pdf, pp. 1–2; FATF-Assessment-Methodology-2022.pdf, pp. 1–2) The excerpts do not identify a specific law, article, directive, or regulation as the legal basis for these standards.",FATF-4th-Round-Procedures.pdf.coredownload.pdf; FATF-Assessment-Methodology-2022.pdf; FATF Methodology 22 Feb 2013.pdf.coredownload.inline.pdf,10.41406536102295,False,en,7.0,ok
10,FATF high-risk jurisdictions,"The FATF identifies and continually reviews jurisdictions with strategic deficiencies in their anti-money laundering, counter-terrorist financing and counter-proliferation-financing frameworks that pose risks to the international financial system. The process is overseen by the FATF’s International Co-operation Review Group (ICRG), which assesses jurisdictions according to threats, vulnerabilities or particular risks, and issues a public warning about risks emanating from identified jurisdictions. (Report on the State of Effectiveness and Compliance with the FATF Standards.pdf, p.12)

A jurisdiction must address all or nearly all elements of its ICRG action plan to be removed from FATF monitoring. The FATF has publicly identified more than 80 jurisdictions through this process, and more than 60 have made the necessary changes and exited the process. (Report on the State of Effectiveness and Compliance with the FATF Standards.pdf, p.13) The FATF’s list of high-risk and non-cooperative jurisdictions is one possible source for assessing a jurisdiction’s AML/CFT controls, but membership of the FATF or a FATF-style regional body does not, by itself, establish that a jurisdiction’s AML/CFT regime is adequate and effective. (EBA GL 2021 02 - consolidated (amended by EBA GL 2023 03)_EN.docx.pdf, p.19)",Report on the State of Effectiveness and Compliance with the FATF Standards.pdf; Report on the State of Effectiveness and Compliance with the FATF Standards.pdf; EBA GL 2021 02 - consolidated (amended by EBA GL 2023 03)_EN.docx.pdf,6.781820297241211,False,en,6.9,ok
